label,pValue,is.significant,is.na,perf.xval
I(id^5),0.876001735630438,FALSE,0,0.997372036427058
I(var1^5),0.646796008507286,FALSE,0.747609282818027,0.998308442013743
I(var2^5),NA,NA,0.990178316643108,NA
I(var3^5),NA,NA,0.873851095316783,NA
I(var4^5),NA,NA,0.0449098683584737,NA
I(var5^5),NA,NA,0.920043976366021,NA
I(var6^5),NA,NA,0.940605360780957,NA
I(var7^5),0.0570248821646071,FALSE,0.00189354976430172,0.997369266942631
I(var8^5),0.423442744245676,FALSE,0.0164911372580249,0.997336967951368
I(var9^5),NA,NA,0.272496410882602,NA
I(var10^5),9.19099587562985e-25,TRUE,0,0.997372036622791
I(var11^5),6.51942985231889e-11,TRUE,0,0.997372035937726
I(var12^5),4.66928663423572e-35,TRUE,0.785385158197677,0.998134382329037
I(var13^5),1.91177720039425e-35,TRUE,0,0.997372035741993
I(var14^5),0.00159331954082366,TRUE,0.642537179716897,0.997920729736425
I(var15^5),0.764708717189006,FALSE,0.218678452686695,0.997100833633021
I(var16^5),0.00138496058021478,TRUE,0.8000977744154,0.998140934844193
I(var17^5),0.0561571560110832,FALSE,0,0.997372035585407
I(dummy^5),NA,NA,0,NA
I(crimeVar1^5),0.27083932701796,FALSE,0.243303447986002,0.997360212560497
I(crimeVar2^5),0.385587501252451,FALSE,0.253401642698662,0.997363025469026
I(crimeVar3^5),0.88025796350986,FALSE,0.243303447986002,0.997360211671719
I(crimeVar4^5),0.000343690365692009,TRUE,0.249519423263675,0.99735898181521
I(crimeVar5^5),0.303014671078957,FALSE,0.244778912580382,0.997357984369593
I(crimeVar6^5),0.398003707090126,FALSE,0.243303447986002,0.997360211945189
I(crimeVar7^5),0.0013214460175076,TRUE,0.259617617976335,0.997361801198112
I(crimeVar8^5),0.889682946541984,FALSE,0.243303447986002,0.997360213175805
I(crimeVar9^5),0.59719633504029,FALSE,0.243303447986002,0.997360212457946
I(geodemVar1^5),0.470453204433121,FALSE,0.00441533332890915,0.997371491204256
I(geodemVar2^5),0.978994340097902,FALSE,0.00441533332890915,0.997371491283245
I(geodemVar3^5),0.782943138344837,FALSE,0.00441533332890915,0.997371490453858
I(geodemVar4^5),0.152909919980805,FALSE,0.00441533332890915,0.997371491204256
I(geodemVar5^5),0.147892791800764,FALSE,0.00441533332890915,0.997371490769815
